,comments,sent,score
0,"Check out the TesFridge - The world’s first portable fride/freezer made for the Model Y sub trunk: <a href=""https://a.co/d/4cPeYrO"">https://a.co/d/4cPeYrO</a>",NEGATIVE,0.9806734323501587
1,We need a sunroof back on the model s and X,NEGATIVE,0.9981505274772644
2,"I still own a 2017 Model X I bought new.  Never been to service center.  Only maintenance have been tires.  I charge at home with solar.  Save $500/month on gas and home electricity.  No more oil filters in landfills every 5000 miles.  No petrochemical odors in cabin.  I recently bought another Tesla, a Model Y.  Transferred FSD from X to Y.  Wow, FSD has really improved.  Definitely a level 3 with minimal intervention needed.  I just moved to a new city.  It’s a game changer navigating in new surroundings",POSITIVE,0.9925904273986816
3,I could be remembering wrong but i think trump said he would end the &quot;mandate&quot; on day one. The EV mandates are not the insensitive from the inflation reduction act. Honestly ending the mandates would kind of do nothing so who cares.,NEGATIVE,0.9670722484588623
4,Video says Trump is saying he&#39;ll remove the tax credits.  That&#39;s incorrect he said the mandate to have all electric cars (no other choices like ICE cars for Americans).  He&#39;s not said he&#39;s removing the current tax credits.,NEGATIVE,0.9969887137413025
5,Did the other guy get fired?,NEGATIVE,0.997357189655304
6,There were reports that Elon said the 4680 team had until the end of the year to work out the problems with production of the 4680 cell. Is that true?,NEGATIVE,0.9990869760513306
7,"But did they finally solve the energy density problem with the 4680 battery? It was supposed to give more range, which it hasn&#39;t",NEGATIVE,0.9986434578895569
8,Does the uk rear wheel drive have the same xtra battery life ?,NEGATIVE,0.9989418387413025
9,Was the 50 percent increase all with the dry process on the cathode?,NEGATIVE,0.9977874755859375
10,Herbert and Scot auditioning as most humanoid robots.,NEGATIVE,0.7657423615455627
11,"If they sell the bot for $25,000 I&#39;ll buy one",NEGATIVE,0.9959272742271423
12,"I love this part at <a href=""https://www.youtube.com/watch?v=hJbm0shFt2c&amp;t=196"">3:16</a> &quot;...whatever dollar means at that point.  Because when you start having a humanoid bot the economy just changes in such a way that you are not even sure what money means anymore&quot; :-)",NEGATIVE,0.800521969795227
13,Great news!,POSITIVE,0.9998719692230225
14,Tesla bot arm will match what we saw in T2 when the Terminator and John go to Miles house to try and stop the future from happening. The Terminator cuts his skin to show the metal skeleton in the arm. I knew they would need to design it this way. James Cameron is an extremely detailed movie Director.,POSITIVE,0.9915181994438171
15,awesome!  thanks for the coverage! not sure why everyone is saying they can&#39;t hear I&#39;m washing dishes and using one old AirPod and I can hear just fine lol,POSITIVE,0.9979090690612793
16,BUY TESLA STOCK Now,POSITIVE,0.9684889912605286
17,Thanks! GREAT commentary.,POSITIVE,0.9998483657836914
18,Elon also said at the 10/10 event some may not understand what they are seeing until the future when they look back. I think that was an interesting tip on what we might see at the unveiling. Can we get a panel to discuss what Elon’s comment might mean?,POSITIVE,0.9674438834190369
19,The main interview is gone 😢,NEGATIVE,0.9997128844261169
20,"The best solar company in Australia just installed my new solar system. Check them out here: <a href=""https://www.resinc.com.au/electricviking"">https://www.resinc.com.au/electricviking</a>",POSITIVE,0.9629920125007629
21,"I live in Thailand. I have never heard an EV owner, regardless of it being Tesla, BYD, GAC, MG, ChangAn, going back to ICE. Our next car will be EV.",POSITIVE,0.9871204495429993
22,"An idiot online posted that today’s ICE cars burn so clean it negates the benefits of EVs. So I challenged him to the garage test. I told him to run his clean ICE with the door closed. I would do the same in my EV. Well, he died. No, he just ignored me from then on.",NEGATIVE,0.9997709393501282
23,That statistic is meaningless unless you know the proportion of total population traded. If 5% of Tesla owners trade with a dealer and 50% choose ICE then 2.5% of Tesla owners are reverting to ICE. Not that high really? Bear in mind you would not be at a dealership if you were swapping to another Tesla (as most do). My guess is those people had financial difficulties and needed to lower their repayments by swapping to a cheap ICE car. 🤔,NEGATIVE,0.9997209906578064
24,"Everyone is absolutely misunderstanding what Edmunds is saying. Read what they are saying here carefully: <br>&quot;More than half of Teslas traded in at dealerships so far in 2024 were traded in for a gas vehicle.&quot; Note that Tesla doesn&#39;t have dealerships or gas cars to trade. <br><br>So here is what that means. A survey done by Bloomberg in the US recently: &quot;Tesla still maintains an 87% brand retention rate, outperforming two non-electric automakers at 67% with Lexus and 54% at Toyota. 81% of prospective Tesla buyers are new customers switching from competing EV brands compared to 42% of Nissan’s prospective buyers.&quot;<br><br>Not a small detail that people are misunderstanding here. Teslas traded in at legacy dealerships are a small percentage of overall Teslas being traded in. So the 13% of non-loyal Tesla customers traded in at legacy dealerships and are trading in for legacy dealership gas cars with the other half being traded in for legacy dealership EVs. This is a smaller subset of used Teslas being traded in. The other 87% is being traded in for new Teslas. So if Tesla has a 87% loyalty rate for returning customers that means that the other 13% are being traded in at legacy dealerships half of which are traded in for legacy EVs. That means only around 7.5% of used Teslas are traded in for ICEs.  <br><br>So Edmunds needs to correct this and change their headline to: Out of the 13% of Teslas that aren&#39;t traded back into Tesla for a new Tesla, 50% of those are traded in for a gas car. But that wouldn&#39;t create as much hysteria and get as many clicks.",NEGATIVE,0.9990131855010986
25,"Edmund’s data is probably deeply biased. I imagine they’re only looking at dealership data, which would skew the data towards ICE. Legacy makers don’t offer many good EVs, so if a Tesla is being traded at a dealership, it would make sense that it’s traded for something on the lot.",NEGATIVE,0.9994670748710632
26,I could never go back to an ICE car after owning a Model 3 for 6 years.  It would be interesting to know about these folks trading their Tesla for ICE.  Apartment dwellers?  Like cars that go &quot;vroom vroom&quot;?  Married an auto mechanic?  Turned off by Elon&#39;s politics?,NEGATIVE,0.9962249994277954
27,No way would I ever go back to ICE cars ever again,NEGATIVE,0.9921554923057556
28,I am keeping my Tesla Model Y and I live in California. Have solar on the house so charging is very cheap. Love the car.,POSITIVE,0.9947348833084106
29,"I think it&#39;s likely that there is a flaw in the study.  If you were intending to replace your Tesla with an other Tesla, you could sell the old one on the private market or trade in the car with Tesla, which does not have dealerships.  So these cases would not be included in the study.",NEGATIVE,0.9996200799942017
30,"Tesla spending billions in AI. Others spending billions on advertising.<br>► AG1 <a href=""https://drinkag1.com/SMR"">https://drinkAG1.com/SMR</a> (FREE 1 Yr Supply of Vitamin D + 5 AG1 Travel Packs) <br>► Want More Content? Join Patreon: <a href=""https://www.patreon.com/solvingthemoneyproblem"">https://www.patreon.com/solvingthemoneyproblem</a><br>► Subscribe on X (Twitter): <a href=""https://twitter.com/stevenmarkryan"">https://twitter.com/stevenmarkryan</a> <br>► Oura Ring <a href=""https://ouraring.com/smr"">https://ouraring.com/smr</a> (Track your sleep, readiness &amp; activity) <br>► Browse MERCH: <a href=""https://solving-the-money-problem.creator-spring.com/"">https://solving-the-money-problem.creator-spring.com/</a> <br>► TSLA Fair Value aka “Price Targets” (2024-2033) <a href=""https://www.patreon.com/posts/tesla-stock-fair-96573364"">https://www.patreon.com/posts/tesla-stock-fair-96573364</a> <br>👕 Don’t bet against Elon MERCH <a href=""https://solving-the-money-problem.creator-spring.com/listing/new-don-t-bet-against-elon"">https://solving-the-money-problem.creator-spring.com/listing/new-don-t-bet-against-elon</a> <br>👕 TSLA HODLR MERCH: <a href=""https://solving-the-money-problem.creator-spring.com/listing/new-tsla-hodlr?product=46"">https://solving-the-money-problem.creator-spring.com/listing/new-tsla-hodlr?product=46</a> <br>👕 Traders FOLD. Investor HOLD. Merch: <a href=""https://solving-the-money-problem.creator-spring.com/listing/traders-fold-investors-hold"">https://solving-the-money-problem.creator-spring.com/listing/traders-fold-investors-hold</a><br>👕  420 Funding Secured MERCH: <a href=""https://solving-the-money-problem.creator-spring.com/listing/420-funding-secured-merch"">https://solving-the-money-problem.creator-spring.com/listing/420-funding-secured-merch</a> <br>👕 I’m ALL IN on TSLA MERCH <a href=""https://bit.ly/30nh2S7"">https://bit.ly/30nh2S7</a> <br>👕 Buy $TSLA MERCH <a href=""https://bit.ly/3Gh8wUw"">https://bit.ly/3Gh8wUw</a> <br>👕 TSLA to the mooooooon MERCH <a href=""https://bit.ly/3iagHHZ"">https://bit.ly/3iagHHZ</a> <br>👕 Cybertruck Light Strip MERCH <a href=""https://bit.ly/3FNLq7L"">https://bit.ly/3FNLq7L</a> <br>👕 Mars awaits MERCH <a href=""https://bit.ly/3yUnKdb"">https://bit.ly/3yUnKdb</a> <br>👕 Make Manufacturing Great Again <a href=""https://solving-the-money-problem.creator-spring.com/listing/make-manufacturing-great-again"">https://solving-the-money-problem.creator-spring.com/listing/make-manufacturing-great-again</a> <br>➡ SEND BITCOIN: bc1q386gs0uhzr5l5zatwz5u28t3f729zpsa9p8t0k <br>➡ SEND ETHEREUM: 0xb3F81537394344DF1d21a0e0CB6DFdF7bFBBA0A3 <br>➡ DONATE <a href=""https://paypal.me/stevenmarkryan"">https://paypal.me/stevenmarkryan</a><br>AFFILIATE DISCLOSURE: I earn a commission on every purchase made through my links.",NEGATIVE,0.99853515625
31,Elon finally sounded positive about Dojo - people might be surprised what this means going forward.,POSITIVE,0.9987327456474304
32,"&quot;Autonomous industrial complex&quot;, I love it!<br>🤖🧡",POSITIVE,0.9997566342353821
33,An economy employing a generalised autonomous transport network will likely have an edge over an economy that isn&#39;t. China won&#39;t want to be left behind in that regard.,NEGATIVE,0.5947503447532654
34,"Your videos are always entertaining. 1 point, Apple makes roughly 1/4 of rev from services",POSITIVE,0.9993705153465271
35,"The 2.5 Model will be a game changer in 2025, for short term Automotive sales.   It should drastically increase the TAM for Tesla’s car sales.  And, in the MS model eliminate the negative impact of car sales even if the current economic slowdown continues.",POSITIVE,0.7978249788284302
36,&quot;Highly unlikely that company would be allowed to offer such technology within the PRC.&quot; This will age like a milk.,NEGATIVE,0.9987456798553467
37,I heard that SMR is being considered as a South Park character...seems likely to me.,NEGATIVE,0.9586737155914307
38,China exposure: Tesla 18.2% &amp; falling. VW? 50 Frunkin’ %! and FALLING!,NEGATIVE,0.9913937449455261
39,Crazy. Thanks for pointing it out. Wonder what the breakdown is. Insurance at the top now?,NEGATIVE,0.972791850566864
40,Children under 18 should not be allowed to transition.,NEGATIVE,0.9716622233390808
41,He said his son was dead in discussion about dead naming... not that his son was dead to him..,NEGATIVE,0.987181544303894
42,8th grade... when all kids so completely know themselves,POSITIVE,0.8806647062301636
43,Why is a Tech Reporter for CNBC interviewing a CEO&#39;s estranged child?<br>Is CNBC trying to sow more controversy for certain companies when the story has nothing to do with the businesses at stake?,NEGATIVE,0.9991053938865662
44,CNBC is no different than CNN,NEGATIVE,0.9960470795631409
45,This is one of the lowest points in broadcasting history for cnbc. A new low. You have stooped as low as Bloomberg.,NEGATIVE,0.9997511506080627
46,"Quit lying ,  not his daughter.   Born as his son.",NEGATIVE,0.9920810461044312
47,Watched. Don’t care. Don’t hear them talk about other CEOs sons or daughters with issues.,NEGATIVE,0.9975111484527588
48,He did not say that his son was dead to him he said that his child was dead as a son because he decided to be a woman. There&#39;s a big difference there you unbelievable which,POSITIVE,0.6149623394012451
49,Its 21 to buy alcohol<br>but a child can get his pee - pee cut off or she can remove her breasts<br>SMH,NEGATIVE,0.9983249306678772
50,"THANKS ALOT FOR YOU INSITES on Tesla  , i am holding 90% invested",POSITIVE,0.9985005855560303
51,What would be the best 5 etfs for a beginner  with a lump sum to invest?,NEGATIVE,0.9973269701004028
52,Hoping it swings very low then runs you new highs,POSITIVE,0.9940810799598694
53,180-190&#39; s would be great before going long,POSITIVE,0.6778700351715088
54,Thanks so much for your updates!,POSITIVE,0.9997480511665344
55,Ty Sir.,POSITIVE,0.9069564342498779
56,It’s going up,POSITIVE,0.9997543692588806
57,True story day trade off the 213 and 220 key areas - up or down 👊🏽🛎️💰,NEGATIVE,0.9954728484153748
58,"So it could go to 235 tomorrow or 134 maybe or 653 is possible but 70000 is in reach but it could also drop to 111, I think you cover all aspects. Lmbo",NEGATIVE,0.9696239829063416
59,"If we open above 220.93, what is your prediction?",NEGATIVE,0.9952566027641296
60,"I think it&#39;s important to stick to stocks that are immune to economic policies. AI stocks that have the potential to power and transform future technologies. It seems AI is the trajectory most companies are taking, including even established FAANG companies. Maybe there are other recommendations?",NEGATIVE,0.98898845911026
61,Most people are taught that &quot;you only need a good job to become rich&quot;. These billionaires are operating on a whole other playbook that many don&#39;t even know exists~,NEGATIVE,0.9893731474876404
62,Musk is villainized now he supports Trump,NEGATIVE,0.9831299185752869
63,"What have these experts done for America, Elon Musk&#39;s companies have made America better in many ways, but what have these experts done for America.",NEGATIVE,0.6650412082672119
64,This is the clearest possible message to anyone who has some extra money to invest.<br>Buy some Tesla.,NEGATIVE,0.9460840225219727
65,Buy when people are fearful,NEGATIVE,0.9542157649993896
66,<b>THIS IS MY TIME TO SHOW THEM WHO I AM. DARK FORCE</b><br><br>This is my time.,POSITIVE,0.99666827917099
67,"I&#39;ll say it again<br>&quot;if i wanted to buy a golf cart, i would buy a golf cart. If you try to force me to buy a golf cart, I&#39;ll punch you in the mouth. It&#39;s my money, and my decision. It&#39;s not yours, and your &#39;feelings&#39; be damned&quot;<br>Why is it so hard for them to just leave us alone?",NEGATIVE,0.9986653327941895
68,Never listen corporate media. Especially for investing advice. 😂,NEGATIVE,0.9248055815696716
69,"As soon as interest rates fall, Tesla&#39;s care sales will grow again.",POSITIVE,0.9959398508071899
70,The new design looks sleek and modern. I can’t wait to see it in person.,POSITIVE,0.9997298121452332
71,The new design looks sleek. How will it impact road noise?,POSITIVE,0.9562373161315918
72,The new design looks fantastic. Tesla always impresses with their aesthetics.,POSITIVE,0.9998875856399536
73,The fast charging capability is impressive. This will make EVs more practical for long trips.,POSITIVE,0.9995940327644348
74,The minimalist interior is a smart move. It keeps things simple and clean.,POSITIVE,0.9998602867126465
75,The price point is very appealing. This makes Tesla more accessible to a wider audience.,POSITIVE,0.9997934699058533
76,"The dual-motor option is a great addition. It should improve performance and handling, making the car more versatile.",POSITIVE,0.9994744658470154
77,The touchscreen control system is a great feature. It modernizes the interior and simplifies the interface.,POSITIVE,0.999606192111969
78,"Tesla models:<br><br><b>2 S3XY</b><br><br>I see what you did there, Elon",POSITIVE,0.9983680844306946
79,The new assembly approach is interesting. How will it impact production speed?,POSITIVE,0.994086503982544
80,"2 DAYS LEFT!!! Deposit $100 and get 5 FREE STOCKS: <br><a href=""https://j.moomoo.com/00a7YQ"">https://j.moomoo.com/00a7YQ</a>",NEGATIVE,0.9939538836479187
81,Good morning! Hope everyone has a great week.,POSITIVE,0.9998416900634766
82,"Hey everybody, what about golden cross?  it sees TSLA chart try  builds golden cross first in over year.",POSITIVE,0.992438793182373
83,Great prediction on Tesla today!,POSITIVE,0.9992852807044983
84,"Hello Rey, as usual good video and analysis",POSITIVE,0.9996591806411743
85,"Let me just mention , good morning !",POSITIVE,0.9995113611221313
86,"I hope this video helped you get brighter about Tesla!<br><br>My website: <a href=""https://www.herbertong.com/"">https://www.HerbertOng.com</a><br><br>See the MOST comprehensive resource for the $TSLA Investor<br><br>Join this channel or my Patreon to get free access to 15+ modules of TSLA investor resources<br><br>Join this channel: <a href=""https://www.youtube.com/channel/UC4DBLlq1x0AKmip1QJUcbXg/join"">https://www.youtube.com/channel/UC4DBLlq1x0AKmip1QJUcbXg/join</a><br>Join my Patreon: <a href=""https://www.patreon.com/brighterwithherbert"">https://www.patreon.com/brighterwithherbert</a><br><br>Thank you for supporting this channel! I really do appreciate your likes, subscribes and comments. <br><br>Let&#39;s get brighter!<br>Herbert",POSITIVE,0.9877054691314697
87,"Tesla is like having a portfolio of  a few mature company and a handful of startups.<br>Auto manufacturing , small energy storage powerwall, large mega batteries, battery production, lithium mining, semi-trucks,  small trucks, and soon vans: cybertruck,  taxi- and full self driving,<br>optimus and ai training, supercomputer chips: dojo, ai inference chips.   The market is sizing the value of all  by only the actual earnings of the mature the auto business. Why not bet on the most  interesting company you can find? People don&#39;t like that Musk&#39;s  predictions are overly optimistic, but so far he always gets there. In Korea it would be a Chaebol,in  Japan a keiretsu, remarkable how much has been done in such a short time.!",POSITIVE,0.8214942216873169
88,"I don&#39;t know how to break the news to Randy, but the feature we are all waiting for in &quot;feature complete&quot; FSD is that the car actually drives itself with no interventions. Until then, &quot;feature complete FSD&quot; is still &quot;feature missing FSD&quot;.",NEGATIVE,0.9984214305877686
89,Wouldn&#39;t it be something if the robot could analysis the factory itself and determine where best bots should be used and able to redesign areas to improve efficiency,NEGATIVE,0.998818576335907
90,"Worst part about this channel is trying to rewind important information, and then instead accidentally hitting a link to buy merch",NEGATIVE,0.9998015761375427
